94 selectors, 926 total methods
seed 1: outcome=pass, 23 classes before OD test
seed 2: outcome=pass, 61 classes before OD test
seed 3: outcome=pass, 37 classes before OD test
seed 4: outcome=pass, 17 classes before OD test
seed 5: outcome=pass, 6 classes before OD test
seed 6: outcome=pass, 12 classes before OD test
seed 7: outcome=pass, 53 classes before OD test
seed 8: outcome=pass, 9 classes before OD test
seed 9: outcome=pass, 2 classes before OD test
seed 10: outcome=pass, 61 classes before OD test
seed 11: outcome=pass, 45 classes before OD test
seed 12: outcome=pass, 64 classes before OD test
seed 13: outcome=pass, 25 classes before OD test
seed 14: outcome=pass, 55 classes before OD test
seed 15: outcome=pass, 42 classes before OD test
seed 16: outcome=pass, 43 classes before OD test
seed 17: outcome=pass, 1 classes before OD test
seed 18: outcome=pass, 57 classes before OD test
seed 19: outcome=pass, 50 classes before OD test
seed 20: outcome=pass, 37 classes before OD test
seed 21: outcome=pass, 25 classes before OD test
seed 22: outcome=pass, 51 classes before OD test
seed 23: outcome=pass, 66 classes before OD test
seed 24: outcome=pass, 50 classes before OD test
seed 25: outcome=pass, 45 classes before OD test
seed 26: outcome=pass, 56 classes before OD test
seed 27: outcome=pass, 64 classes before OD test
seed 28: outcome=pass, 32 classes before OD test
seed 29: outcome=pass, 11 classes before OD test
seed 30: outcome=pass, 44 classes before OD test
seed 31: outcome=pass, 7 classes before OD test
seed 32: outcome=pass, 47 classes before OD test
seed 33: outcome=pass, 54 classes before OD test
seed 34: outcome=pass, 55 classes before OD test
seed 35: outcome=pass, 47 classes before OD test
seed 36: outcome=pass, 66 classes before OD test
seed 37: outcome=pass, 6 classes before OD test
seed 38: outcome=pass, 24 classes before OD test
seed 39: outcome=pass, 45 classes before OD test
seed 40: outcome=pass, 46 classes before OD test
seed 41: outcome=pass, 17 classes before OD test
seed 42: outcome=pass, 64 classes before OD test
seed 43: outcome=pass, 53 classes before OD test
seed 44: outcome=pass, 22 classes before OD test
seed 45: outcome=pass, 19 classes before OD test
seed 46: outcome=pass, 65 classes before OD test
seed 47: outcome=pass, 52 classes before OD test
seed 48: outcome=pass, 48 classes before OD test
seed 49: outcome=pass, 24 classes before OD test
seed 50: outcome=pass, 62 classes before OD test
seed 51: outcome=pass, 60 classes before OD test
seed 52: outcome=pass, 31 classes before OD test
seed 53: outcome=pass, 45 classes before OD test
seed 54: outcome=pass, 22 classes before OD test
seed 55: outcome=pass, 60 classes before OD test
seed 56: outcome=pass, 29 classes before OD test
seed 57: outcome=pass, 38 classes before OD test
seed 58: outcome=pass, 43 classes before OD test
seed 59: outcome=pass, 59 classes before OD test
seed 60: outcome=pass, 12 classes before OD test
seed 61: outcome=pass, 10 classes before OD test
seed 62: outcome=pass, 58 classes before OD test
seed 63: outcome=pass, 33 classes before OD test
seed 64: outcome=pass, 15 classes before OD test
seed 65: outcome=pass, 4 classes before OD test
seed 66: outcome=pass, 29 classes before OD test
seed 67: outcome=pass, 26 classes before OD test
seed 68: outcome=pass, 39 classes before OD test
seed 69: outcome=pass, 40 classes before OD test
seed 70: outcome=pass, 17 classes before OD test
