shuffle,n_orders,n_fail_included,strategy,rank_of_truth
0,5,0,positive,49
0,5,0,negative,13
0,5,0,combined,13
0,10,0,positive,49
0,10,0,negative,12
0,10,0,combined,12
0,20,0,positive,49
0,20,0,negative,22
0,20,0,combined,22
0,30,1,positive,1
0,30,1,negative,16
0,30,1,combined,11
0,50,1,positive,1
0,50,1,negative,40
0,50,1,combined,31
0,75,1,positive,1
0,75,1,negative,59
0,75,1,combined,55
0,92,1,positive,1
0,92,1,negative,57
0,92,1,combined,51
1,5,0,positive,49
1,5,0,negative,66
1,5,0,combined,66
1,10,0,positive,49
1,10,0,negative,66
1,10,0,combined,66
1,20,0,positive,49
1,20,0,negative,65
1,20,0,combined,65
1,30,0,positive,49
1,30,0,negative,68
1,30,0,combined,68
1,50,1,positive,1
1,50,1,negative,66
1,50,1,combined,64
1,75,1,positive,1
1,75,1,negative,54
1,75,1,combined,51
1,92,1,positive,1
1,92,1,negative,57
1,92,1,combined,51
2,5,0,positive,49
2,5,0,negative,4
2,5,0,combined,4
2,10,0,positive,49
2,10,0,negative,6
2,10,0,combined,6
2,20,0,positive,49
2,20,0,negative,27
2,20,0,combined,27
2,30,0,positive,49
2,30,0,negative,58
2,30,0,combined,58
2,50,1,positive,1
2,50,1,negative,67
2,50,1,combined,63
2,75,1,positive,1
2,75,1,negative,68
2,75,1,combined,68
2,92,1,positive,1
2,92,1,negative,57
2,92,1,combined,51
