EXIT CODE: 0
target/surefire-reports/net.sf.marineapi.ais.event.AbstractAISMessageListenerTest.txt:Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.133 s -- in net.sf.marineapi.ais.event.AbstractAISMessageListenerTest
target/surefire-reports/net.sf.marineapi.ais.parser.AISMessage04Test.txt:Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.016 s -- in net.sf.marineapi.ais.parser.AISMessage04Test
target/surefire-reports/net.sf.marineapi.ais.parser.AISMessage05Test.txt:Tests run: 16, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.029 s -- in net.sf.marineapi.ais.parser.AISMessage05Test
target/surefire-reports/net.sf.marineapi.ais.parser.AISMessage09ParserTest.txt:Tests run: 13, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.017 s -- in net.sf.marineapi.ais.parser.AISMessage09ParserTest
target/surefire-reports/net.sf.marineapi.ais.parser.AISMessage21ParserTest.txt:Tests run: 19, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.028 s -- in net.sf.marineapi.ais.parser.AISMessage21ParserTest
target/surefire-reports/net.sf.marineapi.ais.parser.AISMessage24ParserTest.txt:Tests run: 11, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.014 s -- in net.sf.marineapi.ais.parser.AISMessage24ParserTest
target/surefire-reports/net.sf.marineapi.ais.parser.AISMessageFactoryTest.txt:Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.005 s -- in net.sf.marineapi.ais.parser.AISMessageFactoryTest
target/surefire-reports/net.sf.marineapi.ais.parser.AISMessageParserTest.txt:Tests run: 12, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.014 s -- in net.sf.marineapi.ais.parser.AISMessageParserTest
target/surefire-reports/net.sf.marineapi.ais.parser.AISPositionReportBParserTest.txt:Tests run: 12, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.014 s -- in net.sf.marineapi.ais.parser.AISPositionReportBParserTest
target/surefire-reports/net.sf.marineapi.ais.parser.AISPositionReportParserTest.txt:Tests run: 16, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.013 s -- in net.sf.marineapi.ais.parser.AISPositionReportParserTest
target/surefire-reports/net.sf.marineapi.ais.util.Latitude27Test.txt:Tests run: 14, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.013 s -- in net.sf.marineapi.ais.util.Latitude27Test
target/surefire-reports/net.sf.marineapi.ais.util.Longitude28Test.txt:Tests run: 14, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.011 s -- in net.sf.marineapi.ais.util.Longitude28Test
target/surefire-reports/net.sf.marineapi.ais.util.SpeedOverGroundTest.txt:Tests run: 12, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.009 s -- in net.sf.marineapi.ais.util.SpeedOverGroundTest
target/surefire-reports/net.sf.marineapi.nmea.event.AbstractSentenceListenerTest.txt:Tests run: 16, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.050 s -- in net.sf.marineapi.nmea.event.AbstractSentenceListenerTest
target/surefire-reports/net.sf.marineapi.nmea.io.SentenceReaderTest.txt:Tests run: 14, Failures: 0, Errors: 0, Skipped: 1, Time elapsed: 0.679 s -- in net.sf.marineapi.nmea.io.SentenceReaderTest
target/surefire-reports/net.sf.marineapi.nmea.parser.APBTest.txt:Tests run: 17, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.013 s -- in net.sf.marineapi.nmea.parser.APBTest
target/surefire-reports/net.sf.marineapi.nmea.parser.BODTest.txt:Tests run: 21, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.017 s -- in net.sf.marineapi.nmea.parser.BODTest
target/surefire-reports/net.sf.marineapi.nmea.parser.ChecksumTest.txt:Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.004 s -- in net.sf.marineapi.nmea.parser.ChecksumTest
target/surefire-reports/net.sf.marineapi.nmea.parser.DBTTest.txt:Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.009 s -- in net.sf.marineapi.nmea.parser.DBTTest
target/surefire-reports/net.sf.marineapi.nmea.parser.DPTTest.txt:Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.008 s -- in net.sf.marineapi.nmea.parser.DPTTest
target/surefire-reports/net.sf.marineapi.nmea.parser.DTMTest.txt:Tests run: 13, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.010 s -- in net.sf.marineapi.nmea.parser.DTMTest
target/surefire-reports/net.sf.marineapi.nmea.parser.GBSTest.txt:Tests run: 16, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.016 s -- in net.sf.marineapi.nmea.parser.GBSTest
target/surefire-reports/net.sf.marineapi.nmea.parser.GGATest.txt:Tests run: 25, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.024 s -- in net.sf.marineapi.nmea.parser.GGATest
target/surefire-reports/net.sf.marineapi.nmea.parser.GLLTest.txt:Tests run: 10, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.011 s -- in net.sf.marineapi.nmea.parser.GLLTest
target/surefire-reports/net.sf.marineapi.nmea.parser.GNSTest.txt:Tests run: 20, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.017 s -- in net.sf.marineapi.nmea.parser.GNSTest
target/surefire-reports/net.sf.marineapi.nmea.parser.GSATest.txt:Tests run: 13, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.013 s -- in net.sf.marineapi.nmea.parser.GSATest
target/surefire-reports/net.sf.marineapi.nmea.parser.GSTTest.txt:Tests run: 18, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.016 s -- in net.sf.marineapi.nmea.parser.GSTTest
target/surefire-reports/net.sf.marineapi.nmea.parser.GSVTest.txt:Tests run: 13, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.010 s -- in net.sf.marineapi.nmea.parser.GSVTest
target/surefire-reports/net.sf.marineapi.nmea.parser.HDGTest.txt:Tests run: 18, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.017 s -- in net.sf.marineapi.nmea.parser.HDGTest
target/surefire-reports/net.sf.marineapi.nmea.parser.HDMTest.txt:Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.007 s -- in net.sf.marineapi.nmea.parser.HDMTest
target/surefire-reports/net.sf.marineapi.nmea.parser.HDTTest.txt:Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.004 s -- in net.sf.marineapi.nmea.parser.HDTTest
target/surefire-reports/net.sf.marineapi.nmea.parser.HTDTest.txt:Tests run: 19, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.017 s -- in net.sf.marineapi.nmea.parser.HTDTest
target/surefire-reports/net.sf.marineapi.nmea.parser.MDATest.txt:Tests run: 23, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.023 s -- in net.sf.marineapi.nmea.parser.MDATest
target/surefire-reports/net.sf.marineapi.nmea.parser.MHUTest.txt:Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.008 s -- in net.sf.marineapi.nmea.parser.MHUTest
target/surefire-reports/net.sf.marineapi.nmea.parser.MMBTest.txt:Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.004 s -- in net.sf.marineapi.nmea.parser.MMBTest
target/surefire-reports/net.sf.marineapi.nmea.parser.MTATest.txt:Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.003 s -- in net.sf.marineapi.nmea.parser.MTATest
target/surefire-reports/net.sf.marineapi.nmea.parser.MTWTest.txt:Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.004 s -- in net.sf.marineapi.nmea.parser.MTWTest
target/surefire-reports/net.sf.marineapi.nmea.parser.MWDTest.txt:Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.011 s -- in net.sf.marineapi.nmea.parser.MWDTest
target/surefire-reports/net.sf.marineapi.nmea.parser.MWVTest.txt:Tests run: 15, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.012 s -- in net.sf.marineapi.nmea.parser.MWVTest
target/surefire-reports/net.sf.marineapi.nmea.parser.PositionParserTest.txt:Tests run: 10, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.011 s -- in net.sf.marineapi.nmea.parser.PositionParserTest
target/surefire-reports/net.sf.marineapi.nmea.parser.RMBTest.txt:Tests run: 22, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.023 s -- in net.sf.marineapi.nmea.parser.RMBTest
target/surefire-reports/net.sf.marineapi.nmea.parser.RMCTest.txt:Tests run: 25, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.027 s -- in net.sf.marineapi.nmea.parser.RMCTest
target/surefire-reports/net.sf.marineapi.nmea.parser.ROTTest.txt:Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.006 s -- in net.sf.marineapi.nmea.parser.ROTTest
target/surefire-reports/net.sf.marineapi.nmea.parser.RPMTest.txt:Tests run: 15, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.011 s -- in net.sf.marineapi.nmea.parser.RPMTest
target/surefire-reports/net.sf.marineapi.nmea.parser.RSATest.txt:Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.006 s -- in net.sf.marineapi.nmea.parser.RSATest
target/surefire-reports/net.sf.marineapi.nmea.parser.RTETest.txt:Tests run: 19, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.013 s -- in net.sf.marineapi.nmea.parser.RTETest
target/surefire-reports/net.sf.marineapi.nmea.parser.STALKTest.txt:Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.005 s -- in net.sf.marineapi.nmea.parser.STALKTest
target/surefire-reports/net.sf.marineapi.nmea.parser.SentenceFactoryTest.txt:Tests run: 16, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.030 s -- in net.sf.marineapi.nmea.parser.SentenceFactoryTest
target/surefire-reports/net.sf.marineapi.nmea.parser.SentenceParserTest.txt:Tests run: 42, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.032 s -- in net.sf.marineapi.nmea.parser.SentenceParserTest
target/surefire-reports/net.sf.marineapi.nmea.parser.TTMTest.txt:Tests run: 25, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.025 s -- in net.sf.marineapi.nmea.parser.TTMTest
target/surefire-reports/net.sf.marineapi.nmea.parser.TXTTest.txt:Tests run: 13, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.010 s -- in net.sf.marineapi.nmea.parser.TXTTest
target/surefire-reports/net.sf.marineapi.nmea.parser.VBWTest.txt:Tests run: 22, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.018 s -- in net.sf.marineapi.nmea.parser.VBWTest
target/surefire-reports/net.sf.marineapi.nmea.parser.VDMTest.txt:Tests run: 12, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.007 s -- in net.sf.marineapi.nmea.parser.VDMTest
target/surefire-reports/net.sf.marineapi.nmea.parser.VDOTest.txt:Tests run: 12, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.008 s -- in net.sf.marineapi.nmea.parser.VDOTest
target/surefire-reports/net.sf.marineapi.nmea.parser.VDRTest.txt:Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.005 s -- in net.sf.marineapi.nmea.parser.VDRTest
target/surefire-reports/net.sf.marineapi.nmea.parser.VHWTest.txt:Tests run: 11, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.006 s -- in net.sf.marineapi.nmea.parser.VHWTest
target/surefire-reports/net.sf.marineapi.nmea.parser.VLWTest.txt:Tests run: 10, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.006 s -- in net.sf.marineapi.nmea.parser.VLWTest
target/surefire-reports/net.sf.marineapi.nmea.parser.VTGTest.txt:Tests run: 18, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.010 s -- in net.sf.marineapi.nmea.parser.VTGTest
target/surefire-reports/net.sf.marineapi.nmea.parser.WPLTest.txt:Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.003 s -- in net.sf.marineapi.nmea.parser.WPLTest
target/surefire-reports/net.sf.marineapi.nmea.parser.XDRTest.txt:Tests run: 10, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.008 s -- in net.sf.marineapi.nmea.parser.XDRTest
target/surefire-reports/net.sf.marineapi.nmea.parser.XTETest.txt:Tests run: 12, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.007 s -- in net.sf.marineapi.nmea.parser.XTETest
target/surefire-reports/net.sf.marineapi.nmea.parser.ZDATest.txt:Tests run: 14, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.008 s -- in net.sf.marineapi.nmea.parser.ZDATest
target/surefire-reports/net.sf.marineapi.nmea.sentence.SentenceIdTest.txt:Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.007 s -- in net.sf.marineapi.nmea.sentence.SentenceIdTest
target/surefire-reports/net.sf.marineapi.nmea.sentence.SentenceValidatorTest.txt:Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.012 s -- in net.sf.marineapi.nmea.sentence.SentenceValidatorTest
target/surefire-reports/net.sf.marineapi.nmea.sentence.TalkerIdTest.txt:Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.007 s -- in net.sf.marineapi.nmea.sentence.TalkerIdTest
target/surefire-reports/net.sf.marineapi.nmea.util.DateTest.txt:Tests run: 27, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.023 s -- in net.sf.marineapi.nmea.util.DateTest
target/surefire-reports/net.sf.marineapi.nmea.util.PositionTest.txt:Tests run: 16, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.009 s -- in net.sf.marineapi.nmea.util.PositionTest
target/surefire-reports/net.sf.marineapi.nmea.util.TimeTest.txt:Tests run: 23, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.014 s -- in net.sf.marineapi.nmea.util.TimeTest
target/surefire-reports/net.sf.marineapi.nmea.util.WaypointTest.txt:Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s -- in net.sf.marineapi.nmea.util.WaypointTest
target/surefire-reports/net.sf.marineapi.provider.HeadingProviderTest.txt:Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.003 s -- in net.sf.marineapi.provider.HeadingProviderTest
target/surefire-reports/net.sf.marineapi.provider.PositionProviderTest.txt:Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.003 s -- in net.sf.marineapi.provider.PositionProviderTest
