ID,Project,Module,SHA,KLOC,NumFlakyTests,TestRuntimeSec,NumConcMethods
M1,Accenture/mercury,platform-core,8586dc7,19.27,1,15.00,622.50
M2,Alluxio/alluxio,.,78c063a,59.68,17,5.42,893.25
M3,TooTallNate/Java-WebSocket,.,fa3909c,10.92,52,4.30,103.59
M4,activiti/activiti,activiti-engine,b11f757,111.80,12,10.30,2219.41
M5,activiti/activiti,activiti-spring,b11f757,3.04,1,7.56,2842.00
M6,alibaba/wasp,.,b2593d8,153.50,1,5.67,59.00
M7,apache/dubbo,dubbo-config-api,737f7a7,8.34,4,6.33,498.50
M8,apache/dubbo,dubbo-remoting-netty,737f7a7,1.56,1,13.38,265.00
M9,apache/dubbo,dubbo-rpc-dubbo,737f7a7,4.69,5,4.12,364.20
M10,apache/dubbo,dubbo-rpc-http,737f7a7,0.39,1,3.81,134.00
M11,apache/dubbo,dubbo-rpc-rest,737f7a7,1.03,3,4.54,94.00
M12,apache/httpcore,httpcore,49247d2,21.05,2,2.16,18.50
M13,apache/httpcore,httpcore-nio,49247d2,19.19,9,2.15,327.66
M14,apache/incubator-uniffle,common,6fb2a9a,10.68,1,6.32,46.00
M15,cescoffier/vertx-completable-future,.,011d3cd,2.10,1,2.67,9.00
M16,davidmoten/rxjava2-extras,.,7663d3b,13.69,3,7.06,207.00
M17,doanduyhai/Achilles,integration-test-2_1,e3099bd,8.97,12,15.04,6042.08
M18,doanduyhai/Achilles,integration-test-2_2,e3099bd,0.86,7,13.37,6066.00
M19,doanduyhai/Achilles,integration-test-3_10,e3099bd,0.51,2,12.27,6053.00
M20,doanduyhai/Achilles,integration-test-3_7,e3099bd,0.19,6,12.36,6068.16
M21,doanduyhai/Achilles,integration-test,f52f7ec,2.56,1,8.88,4802.00
M22,elasticjob/elastic-job-lite,elasticjob-infra-common,9afe466,2.12,1,4.91,6.00
M23,feroult/yawp,yawp-testing-appengine,b3bcf9c,0.21,1,3.51,516.00
M24,flaxsearch/luwak,luwak,c27ec08,7.53,2,3.60,44.00
M25,fluent/fluent-logger-java,.,2e5fdf2,1.67,1,5.39,602.00
M26,javadelight/delight-nashorn-sandbox,.,da35edc,2.49,1,3.07,17.00
M27,kagkarlsson/db-scheduler,db-scheduler,0e9f2a8,10.39,4,3.53,32.25
M28,kagkarlsson/db-scheduler,.,4a8a28e,3.74,2,7.67,434.00
M29,nlighten/tomcat_exporter,client,bc6a2d2,0.95,1,7.13,1111.00
M30,qos-ch/logback,logback-classic,0f57531,21.63,3,4.05,380.66
M31,qos-ch/logback,logback-core,0f57531,25.96,2,2.87,36.50
M32,square/okhttp,okhttp-tests,129c937,11.55,1,2.78,129.00
M33,undertow-io/undertow,core,ac7204a,49.28,4,4.03,817.75
M34,undertow-io/undertow,websockets-jsr,d0efffa,6.98,4,4.77,1376.50
M35,vmware/admiral,registry,e4b0293,1.59,5,3.96,1864.20
M36,vmware/admiral,compute,e4b0293,40.47,1,8.13,2475.00
M37,wro4j/wro4j,wro4j-core,7e3801e,23.34,1,2.48,9.00
