source,outcome,before
corpus-20.csv,pass,SentenceParserTest|VDRTest|RMCTest|GBSTest|HeadingProviderTest|SentenceFactoryTest|WPLTest|GLLTest|AISMessageParserTest|HDTTest|MWDTest|PositionParserTest|GSATest|DPTTest|ZDATest|GSTTest|TimeTest|MWVTest|ChecksumTest|PositionProviderTest|SentenceIdTest|MTATest|TTMTest
corpus-20.csv,pass,DateTest|SentenceParserTest|AISMessage04Test|HDGTest|PositionProviderTest|WPLTest|SentenceReaderTest|XTETest|PositionTest|RMCTest|VLWTest|HTDTest|VHWTest|HDMTest|DBTTest|VBWTest|MHUTest|RSATest|AISMessage09ParserTest|AISMessageFactoryTest|VTGTest|TalkerIdTest|MTATest|PositionParserTest|AISPositionReportParserTest|TTMTest|APBTest|GSVTest|MMBTest|GSATest|SentenceIdTest|AISMessage24ParserTest|MWDTest|DPTTest|VDRTest|MDATest|MTWTest|HeadingProviderTest|AbstractSentenceListenerTest|XDRTest|SentenceValidatorTest|STALKTest|HDTTest|Longitude28Test|AISMessageParserTest|GNSTest|RMBTest|Latitude27Test|GLLTest|SentenceFactoryTest|ROTTest|RPMTest|VDOTest|RTETest|ChecksumTest|AISPositionReportBParserTest|MWVTest|DTMTest|VDMTest|GSTTest|WaypointTest
corpus-20.csv,pass,BODTest|VLWTest|AISMessageParserTest|SentenceFactoryTest|MWDTest|DTMTest|SentenceReaderTest|TalkerIdTest|XTETest|AbstractSentenceListenerTest|TTMTest|STALKTest|AISPositionReportBParserTest|HDTTest|GSATest|VTGTest|GSTTest|WaypointTest|VBWTest|VDRTest|DateTest|MHUTest|VDOTest|ZDATest|AISMessage09ParserTest|SpeedOverGroundTest|RSATest|HeadingProviderTest|TimeTest|HDMTest|Latitude27Test|AISMessage05Test|PositionTest|MDATest|WPLTest|AISPositionReportParserTest|XDRTest
corpus-20.csv,pass,STALKTest|ROTTest|RTETest|RMCTest|TimeTest|GSATest|RMBTest|GSVTest|VHWTest|TXTTest|TalkerIdTest|SentenceIdTest|VDRTest|AISMessage04Test|GGATest|HDGTest|SentenceFactoryTest
corpus-20.csv,pass,HDGTest|GLLTest|STALKTest|BODTest|HeadingProviderTest|PositionTest
corpus-20.csv,pass,PositionProviderTest|AISMessage04Test|AISMessage24ParserTest|MWDTest|DTMTest|RMBTest|Latitude27Test|VHWTest|GSVTest|MMBTest|VDOTest|DateTest
corpus-20.csv,pass,MDATest|RSATest|AISMessageParserTest|RTETest|AISMessageFactoryTest|SentenceReaderTest|PositionTest|HDGTest|PositionParserTest|GSVTest|TimeTest|GLLTest|BODTest|MWVTest|TXTTest|HDMTest|GSATest|AISPositionReportBParserTest|GSTTest|RMCTest|MMBTest|VLWTest|AISMessage09ParserTest|MTWTest|XDRTest|APBTest|MWDTest|ROTTest|Longitude28Test|VBWTest|ZDATest|SentenceParserTest|HDTTest|SentenceValidatorTest|SentenceIdTest|DTMTest|AISPositionReportParserTest|VTGTest|STALKTest|MHUTest|ChecksumTest|PositionProviderTest|DPTTest|VDOTest|TTMTest|AISMessage05Test|AISMessage04Test|RPMTest|GBSTest|WaypointTest|VHWTest|MTATest|AISMessage24ParserTest
corpus-20.csv,pass,GLLTest|TalkerIdTest|AISPositionReportParserTest|DateTest|DBTTest|PositionParserTest|PositionTest|GSTTest|GGATest
corpus-20.csv,pass,VLWTest|RSATest
corpus-20.csv,pass,GSVTest|VBWTest|AISMessageFactoryTest|XTETest|GNSTest|MDATest|VDMTest|RPMTest|PositionProviderTest|VDOTest|AbstractSentenceListenerTest|DateTest|SentenceParserTest|TalkerIdTest|VHWTest|PositionParserTest|DTMTest|HDGTest|TimeTest|WPLTest|RMCTest|HeadingProviderTest|VDRTest|DBTTest|MHUTest|MTATest|HDMTest|HTDTest|GBSTest|AISMessageParserTest|SentenceValidatorTest|SpeedOverGroundTest|APBTest|MWVTest|RTETest|DPTTest|Longitude28Test|ROTTest|SentenceIdTest|GGATest|ZDATest|AISPositionReportBParserTest|Latitude27Test|SentenceFactoryTest|SentenceReaderTest|GSATest|MMBTest|RSATest|VLWTest|AISPositionReportParserTest|AISMessage24ParserTest|STALKTest|AISMessage05Test|MWDTest|MTWTest|BODTest|AISMessage09ParserTest|AISMessage21ParserTest|AISMessage04Test|XDRTest|TTMTest
