rank,test,positive_score,negative_score,combined_score
1,TTMTest,9.320453010363076,0.0,9.320453010363076
2,VLWTest,9.001197835745536,0.0,9.001197835745536
3,PositionTest,8.167620466816008,0.0,8.167620466816008
4,RSATest,8.117788679392024,0.0,8.117788679392024
5,VDOTest,8.08154481391934,0.0,8.08154481391934
6,AISMessage05Test,7.261996401895939,0.0,7.261996401895939
7,XDRTest,7.093996670233382,0.0,7.093996670233382
8,VDRTest,7.061067056928611,0.0,7.061067056928611
9,PositionProviderTest,6.864591422080862,0.0,6.864591422080862
10,DateTest,6.835151944926569,0.0,6.835151944926569
11,APBTest,6.743382524182303,0.0,6.743382524182303
12,DPTTest,6.719549051662127,0.0,6.719549051662127
13,GSVTest,6.613036953638838,0.0,6.613036953638838
14,BODTest,6.60067186815698,0.0,6.60067186815698
15,RMBTest,6.34035238676926,0.0,6.34035238676926
16,WaypointTest,6.271745548791611,0.0,6.271745548791611
17,AISPositionReportBParserTest,6.192082690498304,0.0,6.192082690498304
18,MHUTest,6.073040406131271,0.0,6.073040406131271
19,AISMessage21ParserTest,6.032999754618471,0.0,6.032999754618471
20,RMCTest,5.871001397277208,0.0,5.871001397277208
21,GSTTest,5.846150180238757,0.0,5.846150180238757
22,GNSTest,5.735621494761983,0.0,5.735621494761983
23,MDATest,5.623833281203709,0.0,5.623833281203709
24,AISPositionReportParserTest,5.602374806312435,0.0,5.602374806312435
25,TXTTest,5.319551215292891,0.0,5.319551215292891
26,HDGTest,5.24216383447272,0.0,5.24216383447272
27,MTATest,5.223443957404069,0.0,5.223443957404069
28,GGATest,5.079746810031264,0.0,5.079746810031264
29,PositionParserTest,5.05444783196428,0.0,5.05444783196428
30,ChecksumTest,5.03653074657074,0.0,5.03653074657074
31,Longitude28Test,5.007917687591347,0.0,5.007917687591347
32,TalkerIdTest,4.997538865372878,0.0,4.997538865372878
33,GLLTest,4.97703586188523,0.0,4.97703586188523
34,STALKTest,4.799558492288813,0.0,4.799558492288813
35,AISMessage04Test,4.743526268187981,0.0,4.743526268187981
36,HDTTest,4.726076266220289,0.0,4.726076266220289
37,MMBTest,4.700312657911443,0.0,4.700312657911443
38,RTETest,4.650479778713478,0.0,4.650479778713478
39,SentenceReaderTest,4.567600655629366,0.0,4.567600655629366
40,DTMTest,4.488759385940157,0.0,4.488759385940157
41,MWDTest,4.423668051098719,0.0,4.423668051098719
42,AISMessage09ParserTest,4.407809653658536,0.0,4.407809653658536
43,VDMTest,4.389455462927527,0.0,4.389455462927527
44,MTWTest,4.262606601700495,0.0,4.262606601700495
45,AISMessage24ParserTest,4.157844135042277,0.0,4.157844135042277
46,SentenceIdTest,4.148310191540848,0.0,4.148310191540848
47,ZDATest,4.1463485644798075,0.0,4.1463485644798075
48,HeadingProviderTest,4.13407943769738,0.0,4.13407943769738
49,GBSTest,4.107582567710823,0.0,4.107582567710823
50,HDMTest,4.042994344626051,0.0,4.042994344626051
51,Latitude27Test,4.03351756737905,0.0,4.03351756737905
52,RPMTest,4.022298618635796,0.0,4.022298618635796
53,SentenceFactoryTest,4.953778501894166,1.0,3.953778501894166
54,AbstractSentenceListenerTest,3.848487863303279,0.0,3.848487863303279
55,ROTTest,3.8072433277652427,0.0,3.8072433277652427
56,VHWTest,3.733973150517507,0.0,3.733973150517507
57,DBTTest,3.680548727476103,0.0,3.680548727476103
58,MWVTest,3.6421806698426487,0.0,3.6421806698426487
59,AISMessageParserTest,3.6205025905078263,0.0,3.6205025905078263
60,VBWTest,3.594102332176379,0.0,3.594102332176379
61,TimeTest,3.5592408508216655,0.0,3.5592408508216655
62,VTGTest,3.5237623387677757,0.0,3.5237623387677757
63,SentenceValidatorTest,3.4125294074839383,0.0,3.4125294074839383
64,WPLTest,3.4036152663801937,0.0,3.4036152663801937
65,GSATest,3.133951993575822,0.0,3.133951993575822
66,HTDTest,3.110461212431637,0.0,3.110461212431637
67,SpeedOverGroundTest,2.962927171668474,0.0,2.962927171668474
68,AISMessageFactoryTest,2.9548737907998825,0.0,2.9548737907998825
69,SentenceParserTest,2.890675548921467,0.0,2.890675548921467
70,XTETest,2.8437440966794845,0.0,2.8437440966794845
