rank,test,positive_score,negative_score,combined_score
1,TTMTest,56.0,0.0,56.0
2,PositionProviderTest,55.0,0.0,55.0
3,AISMessageParserTest,54.0,0.0,54.0
4,DTMTest,54.0,0.0,54.0
5,GSVTest,54.0,0.0,54.0
6,HDGTest,54.0,0.0,54.0
7,MWVTest,54.0,0.0,54.0
8,AISMessage04Test,53.0,0.0,53.0
9,APBTest,53.0,0.0,53.0
10,GSATest,53.0,0.0,53.0
11,HeadingProviderTest,53.0,0.0,53.0
12,ZDATest,53.0,0.0,53.0
13,DateTest,52.0,0.0,52.0
14,Longitude28Test,52.0,0.0,52.0
15,MDATest,52.0,0.0,52.0
16,STALKTest,52.0,0.0,52.0
17,SentenceFactoryTest,52.0,1.0,51.0
18,TimeTest,52.0,0.0,52.0
19,RMCTest,51.0,0.0,51.0
20,SentenceReaderTest,51.0,0.0,51.0
21,XDRTest,51.0,0.0,51.0
22,AISMessage05Test,50.0,0.0,50.0
23,RSATest,50.0,0.0,50.0
24,SentenceValidatorTest,50.0,0.0,50.0
25,AISPositionReportParserTest,49.0,0.0,49.0
26,AbstractSentenceListenerTest,49.0,0.0,49.0
27,Latitude27Test,49.0,0.0,49.0
28,PositionTest,49.0,0.0,49.0
29,RTETest,49.0,0.0,49.0
30,AISMessage09ParserTest,48.0,0.0,48.0
31,AISPositionReportBParserTest,48.0,0.0,48.0
32,MWDTest,48.0,0.0,48.0
33,TalkerIdTest,48.0,0.0,48.0
34,VBWTest,48.0,0.0,48.0
35,VDOTest,48.0,0.0,48.0
36,VHWTest,48.0,0.0,48.0
37,VLWTest,48.0,0.0,48.0
38,VTGTest,48.0,0.0,48.0
39,WaypointTest,48.0,0.0,48.0
40,ChecksumTest,47.0,0.0,47.0
41,HDTTest,47.0,0.0,47.0
42,MTATest,47.0,0.0,47.0
43,MTWTest,47.0,0.0,47.0
44,ROTTest,47.0,0.0,47.0
45,RPMTest,47.0,0.0,47.0
46,SentenceIdTest,47.0,0.0,47.0
47,VDRTest,47.0,0.0,47.0
48,BODTest,46.0,0.0,46.0
49,GLLTest,46.0,0.0,46.0
50,GSTTest,46.0,0.0,46.0
51,MMBTest,46.0,0.0,46.0
52,WPLTest,46.0,0.0,46.0
53,DPTTest,45.0,0.0,45.0
54,HDMTest,45.0,0.0,45.0
55,MHUTest,45.0,0.0,45.0
56,RMBTest,44.0,0.0,44.0
57,AISMessage21ParserTest,43.0,0.0,43.0
58,GGATest,43.0,0.0,43.0
59,PositionParserTest,43.0,0.0,43.0
60,SentenceParserTest,43.0,0.0,43.0
61,TXTTest,43.0,0.0,43.0
62,GNSTest,42.0,0.0,42.0
63,SpeedOverGroundTest,42.0,0.0,42.0
64,XTETest,41.0,0.0,41.0
65,AISMessageFactoryTest,40.0,0.0,40.0
66,GBSTest,40.0,0.0,40.0
67,AISMessage24ParserTest,38.0,0.0,38.0
68,HTDTest,37.0,0.0,37.0
69,DBTTest,36.0,0.0,36.0
70,VDMTest,35.0,0.0,35.0
