rank,test,positive_score,negative_score,combined_score
1,WaypointTest,0.0,96.0,-96.0
2,AISMessageFactoryTest,0.0,120.0,-120.0
3,ChecksumTest,0.0,141.0,-141.0
4,HeadingProviderTest,0.0,159.0,-159.0
5,PositionProviderTest,0.0,165.0,-165.0
6,WPLTest,0.0,184.0,-184.0
7,MTWTest,0.0,188.0,-188.0
8,MTATest,0.0,188.0,-188.0
9,TalkerIdTest,0.0,192.0,-192.0
10,MMBTest,0.0,230.0,-230.0
11,DBTTest,0.0,252.0,-252.0
12,HDMTest,0.0,270.0,-270.0
13,HDTTest,0.0,282.0,-282.0
14,ROTTest,0.0,282.0,-282.0
15,SentenceIdTest,0.0,329.0,-329.0
16,RSATest,0.0,350.0,-350.0
17,DPTTest,0.0,360.0,-360.0
18,STALKTest,0.0,364.0,-364.0
19,VDRTest,0.0,376.0,-376.0
20,MHUTest,0.0,405.0,-405.0
21,AISMessage24ParserTest,0.0,418.0,-418.0
22,VDMTest,0.0,420.0,-420.0
23,PositionParserTest,0.0,430.0,-430.0
24,MWDTest,0.0,432.0,-432.0
25,SentenceValidatorTest,0.0,450.0,-450.0
26,GLLTest,0.0,460.0,-460.0
27,AISMessage04Test,0.0,477.0,-477.0
28,VLWTest,0.0,480.0,-480.0
29,XTETest,0.0,492.0,-492.0
30,SpeedOverGroundTest,0.0,504.0,-504.0
31,XDRTest,0.0,510.0,-510.0
32,VHWTest,0.0,528.0,-528.0
33,TXTTest,0.0,559.0,-559.0
34,AISPositionReportBParserTest,0.0,576.0,-576.0
35,VDOTest,0.0,576.0,-576.0
36,AISMessage09ParserTest,0.0,624.0,-624.0
37,GBSTest,0.0,640.0,-640.0
38,AISMessageParserTest,0.0,648.0,-648.0
39,Latitude27Test,0.0,686.0,-686.0
40,GSATest,0.0,689.0,-689.0
41,DTMTest,0.0,702.0,-702.0
42,GSVTest,0.0,702.0,-702.0
43,HTDTest,0.0,703.0,-703.0
44,RPMTest,0.0,705.0,-705.0
45,SentenceReaderTest,0.0,714.0,-714.0
46,Longitude28Test,0.0,728.0,-728.0
47,ZDATest,0.0,742.0,-742.0
48,PositionTest,0.0,784.0,-784.0
49,AbstractSentenceListenerTest,0.0,784.0,-784.0
50,AISPositionReportParserTest,0.0,784.0,-784.0
51,AISMessage05Test,0.0,800.0,-800.0
52,MWVTest,0.0,810.0,-810.0
53,AISMessage21ParserTest,0.0,817.0,-817.0
54,GSTTest,0.0,828.0,-828.0
55,SentenceFactoryTest,16.0,832.0,-816.0
56,GNSTest,0.0,840.0,-840.0
57,VTGTest,0.0,864.0,-864.0
58,APBTest,0.0,901.0,-901.0
59,RTETest,0.0,931.0,-931.0
60,BODTest,0.0,966.0,-966.0
61,RMBTest,0.0,968.0,-968.0
62,HDGTest,0.0,972.0,-972.0
63,VBWTest,0.0,1056.0,-1056.0
64,GGATest,0.0,1075.0,-1075.0
65,MDATest,0.0,1196.0,-1196.0
66,TimeTest,0.0,1196.0,-1196.0
67,RMCTest,0.0,1275.0,-1275.0
68,TTMTest,0.0,1400.0,-1400.0
69,DateTest,0.0,1404.0,-1404.0
70,SentenceParserTest,0.0,1806.0,-1806.0
