rank,test,positive_score,negative_score,combined_score
1,SentenceFactoryTest,1.0,52.0,-51.0
2,AISMessage04Test,0.0,53.0,-53.0
3,AISMessage05Test,0.0,50.0,-50.0
4,AISMessage09ParserTest,0.0,48.0,-48.0
5,AISMessage21ParserTest,0.0,43.0,-43.0
6,AISMessage24ParserTest,0.0,38.0,-38.0
7,AISMessageFactoryTest,0.0,40.0,-40.0
8,AISMessageParserTest,0.0,54.0,-54.0
9,AISPositionReportBParserTest,0.0,48.0,-48.0
10,AISPositionReportParserTest,0.0,49.0,-49.0
11,APBTest,0.0,53.0,-53.0
12,AbstractSentenceListenerTest,0.0,49.0,-49.0
13,BODTest,0.0,46.0,-46.0
14,ChecksumTest,0.0,47.0,-47.0
15,DBTTest,0.0,36.0,-36.0
16,DPTTest,0.0,45.0,-45.0
17,DTMTest,0.0,54.0,-54.0
18,DateTest,0.0,52.0,-52.0
19,GBSTest,0.0,40.0,-40.0
20,GGATest,0.0,43.0,-43.0
21,GLLTest,0.0,46.0,-46.0
22,GNSTest,0.0,42.0,-42.0
23,GSATest,0.0,53.0,-53.0
24,GSTTest,0.0,46.0,-46.0
25,GSVTest,0.0,54.0,-54.0
26,HDGTest,0.0,54.0,-54.0
27,HDMTest,0.0,45.0,-45.0
28,HDTTest,0.0,47.0,-47.0
29,HTDTest,0.0,37.0,-37.0
30,HeadingProviderTest,0.0,53.0,-53.0
31,Latitude27Test,0.0,49.0,-49.0
32,Longitude28Test,0.0,52.0,-52.0
33,MDATest,0.0,52.0,-52.0
34,MHUTest,0.0,45.0,-45.0
35,MMBTest,0.0,46.0,-46.0
36,MTATest,0.0,47.0,-47.0
37,MTWTest,0.0,47.0,-47.0
38,MWDTest,0.0,48.0,-48.0
39,MWVTest,0.0,54.0,-54.0
40,PositionParserTest,0.0,43.0,-43.0
41,PositionProviderTest,0.0,55.0,-55.0
42,PositionTest,0.0,49.0,-49.0
43,RMBTest,0.0,44.0,-44.0
44,RMCTest,0.0,51.0,-51.0
45,ROTTest,0.0,47.0,-47.0
46,RPMTest,0.0,47.0,-47.0
47,RSATest,0.0,50.0,-50.0
48,RTETest,0.0,49.0,-49.0
49,STALKTest,0.0,52.0,-52.0
50,SentenceIdTest,0.0,47.0,-47.0
51,SentenceParserTest,0.0,43.0,-43.0
52,SentenceReaderTest,0.0,51.0,-51.0
53,SentenceValidatorTest,0.0,50.0,-50.0
54,SpeedOverGroundTest,0.0,42.0,-42.0
55,TTMTest,0.0,56.0,-56.0
56,TXTTest,0.0,43.0,-43.0
57,TalkerIdTest,0.0,48.0,-48.0
58,TimeTest,0.0,52.0,-52.0
59,VBWTest,0.0,48.0,-48.0
60,VDMTest,0.0,35.0,-35.0
61,VDOTest,0.0,48.0,-48.0
62,VDRTest,0.0,47.0,-47.0
63,VHWTest,0.0,48.0,-48.0
64,VLWTest,0.0,48.0,-48.0
65,VTGTest,0.0,48.0,-48.0
66,WPLTest,0.0,46.0,-46.0
67,WaypointTest,0.0,48.0,-48.0
68,XDRTest,0.0,51.0,-51.0
69,XTETest,0.0,41.0,-41.0
70,ZDATest,0.0,53.0,-53.0
